reference_number,reading_date,vendor,outdoor_temp_c,flow_temp_c,return_temp_c,dhw_actual_c,electrical_energy_kwh,thermal_energy_kwh,compressor_starts,defrost_cycles,error_code_raw,status_raw
TH-02180,2026-06-25,B,15.3,,,,11606.1,,6,0,,0
TH-02181,2026-06-25,B,15.3,,,,18741.9,,9,0,6021,0
TH-02182,2026-06-25,B,15.3,,,,20949.0,,12,0,,0
TH-02184,2026-06-25,B,15.3,32.2,27.4,,20287.7,,4,0,6021,0
TH-02185,2026-06-25,B,15.3,,,,25222.0,,3,0,,0
TH-02187,2026-06-25,B,15.3,,,,13617.3,,6,0,7702,2
TH-02189,2026-06-25,B,15.3,,,,19359.0,,3,0,6021,0
TH-02190,2026-06-25,B,15.3,,,,24673.6,,7,0,3104,2
TH-02192,2026-06-25,B,15.3,,,,23378.7,,5,0,,0
TH-02194,2026-06-25,B,15.3,,,,19005.2,,5,0,6021,0
TH-02195,2026-06-25,B,15.3,,,,14825.0,,4,0,,0
TH-02196,2026-06-25,B,15.3,,,,25219.3,,8,0,,0
TH-02202,2026-06-25,B,15.3,,,,13818.9,,11,0,,0
TH-02204,2026-06-25,B,15.3,,,,5180.2,,5,0,,0
TH-02207,2026-06-25,B,15.3,,,,13674.7,,6,0,6021,0
TH-02213,2026-06-25,B,15.3,,,,9319.5,,2,0,6021,0
TH-02214,2026-06-25,B,15.3,,,,9125.5,,9,0,,0
TH-02215,2026-06-25,B,15.3,,,,18252.2,,11,0,6021,0
TH-02216,2026-06-25,B,15.3,,,,17162.7,,9,0,6021,0
TH-02223,2026-06-25,B,15.3,,,,22235.2,,10,0,6021,0
TH-02224,2026-06-25,B,15.3,,,,8754.5,,2,0,7702,2
TH-02230,2026-06-25,B,15.3,,,,25621.2,,4,0,6021,0
TH-02234,2026-06-25,B,15.3,,,,13286.7,,7,0,6021,0
TH-02235,2026-06-25,B,15.3,,,,22675.2,,5,0,6021,0
TH-02238,2026-06-25,B,15.3,33.4,26.7,,7768.3,,8,0,6021,0
TH-02239,2026-06-25,B,15.3,,,,17205.5,,6,0,,0
TH-02244,2026-06-25,B,15.3,,,,16871.3,,8,0,7702,2
TH-02245,2026-06-25,B,15.3,,,,14927.8,,7,0,,0
TH-02246,2026-06-25,B,15.3,,,,15944.5,,8,0,6021,0
TH-02247,2026-06-25,B,15.3,,,,5477.7,,10,0,6021,0
TH-02250,2026-06-25,B,15.3,,,,11175.1,,10,0,6021,0
TH-02251,2026-06-25,B,15.3,,,,24451.4,,10,0,6021,0
TH-02256,2026-06-25,B,15.3,,,,7844.1,,8,0,,0
TH-02258,2026-06-25,B,15.3,,,,10348.3,,6,0,,0
TH-02260,2026-06-25,B,15.3,,,,7331.3,,12,0,,0
TH-02265,2026-06-25,B,15.3,,,,22586.5,,8,0,,0
TH-02266,2026-06-25,B,15.3,,,,16110.5,,10,0,,0
TH-02267,2026-06-25,B,15.3,,,,11533.2,,7,0,6021,0
TH-02268,2026-06-25,B,15.3,,,,23818.1,,12,0,,0
TH-02269,2026-06-25,B,15.3,,,,12391.8,,7,0,6021,0
TH-02271,2026-06-25,B,15.3,,,,4938.6,,7,0,,0
TH-02275,2026-06-25,B,15.3,,,,12337.6,,9,0,6021,0
TH-02279,2026-06-25,B,15.3,,,,21085.9,,12,0,,0
TH-02280,2026-06-25,B,15.3,,,,17712.0,,7,0,6021,0
TH-02283,2026-06-25,B,15.3,,,,21341.5,,9,0,6021,0
TH-02285,2026-06-25,B,15.3,,,,12822.1,,15,0,6021,0
TH-02286,2026-06-25,B,15.3,,,,7572.7,,8,0,,0
TH-02288,2026-06-25,B,15.3,,,,5430.1,,4,0,,0
TH-02290,2026-06-25,B,15.3,,,,7311.9,,5,0,6021,0
TH-02294,2026-06-25,C,15.3,,,,2.27,,,0,,
TH-02299,2026-06-25,C,15.3,,,,2.68,,,0,ALM_SM_LINK,warn
TH-02300,2026-06-25,C,15.3,,,,1.9,,,0,,OK
TH-02303,2026-06-25,C,15.3,,,,2.61,,,0,,
TH-02304,2026-06-25,C,15.3,,,,2.78,,,0,,warn
TH-02307,2026-06-25,C,15.3,,,,1.89,,,0,ALM_HP_HP_SWITCH,
TH-02308,2026-06-25,C,15.3,,,,2.56,,,0,,OK
TH-02309,2026-06-25,C,15.3,,,,2.82,,,0,,
TH-02311,2026-06-25,C,15.3,,,,2.91,,,0,,warn
TH-02312,2026-06-25,C,15.3,,,,-3.68,,,0,ALM_HP_HP_SWITCH,
TH-02313,2026-06-25,C,15.3,31.4,,,1.86,,,0,,warn
TH-02314,2026-06-25,C,15.3,,,,1.52,,,0,,warn
TH-02317,2026-06-25,C,15.3,,,,2.29,,,0,,OK
TH-02319,2026-06-25,C,15.3,,,,2.8,,,0,,warn
TH-02322,2026-06-25,C,15.3,,,,2.32,,,0,,OK
TH-02324,2026-06-25,C,15.3,,,,1.74,,,0,,
TH-02331,2026-06-25,C,15.3,,,,2.02,,,0,,
TH-02334,2026-06-25,C,15.3,,,,2.35,,,0,,warn
TH-02335,2026-06-25,C,15.3,,,,2.13,,,0,,
TH-02336,2026-06-25,C,15.3,,,,2.83,,,0,,
TH-02338,2026-06-25,C,15.3,,,,2.04,,,0,,
TH-02339,2026-06-25,C,15.3,,,,2.36,,,0,,
TH-02340,2026-06-25,C,15.3,,,,2.54,,,0,,
TH-02341,2026-06-25,C,15.3,,,,2.66,,,0,,OK
TH-02342,2026-06-25,C,15.3,,,,2.03,,,0,,OK
TH-02343,2026-06-25,C,15.3,,,,2.51,,,0,,OK
TH-02344,2026-06-25,C,15.3,,,,2.22,,,0,,warn
TH-02345,2026-06-25,C,15.3,,,,2.05,,,0,,warn
TH-02347,2026-06-25,C,15.3,,,,1.61,,,0,,warn
TH-02348,2026-06-25,C,15.3,,,,2.32,,,0,,
TH-02352,2026-06-25,C,15.3,,,,1.64,,,0,,
TH-02354,2026-06-25,C,15.3,,,,2.4,,,0,,
TH-02355,2026-06-25,C,15.3,,,,2.22,,,0,,warn
TH-02357,2026-06-25,C,15.3,,,,1.71,,,0,,warn
TH-02358,2026-06-25,C,15.3,,,,2.16,,,0,,warn
TH-02359,2026-06-25,C,15.3,,,,2.17,,,0,,OK
TH-02360,2026-06-25,C,15.3,,,,2.25,,,0,,
TH-02361,2026-06-25,C,15.3,,,,1.83,,,0,,warn
TH-02363,2026-06-25,C,15.3,,,,2.07,,,0,,OK
TH-02365,2026-06-25,C,15.3,,,,2.54,,,0,,OK
TH-02366,2026-06-25,C,15.3,,,,3.23,,,0,,warn
TH-02367,2026-06-25,C,15.3,,,,2.22,,,0,,warn
TH-02371,2026-06-25,C,15.3,,,,2.05,,,0,,warn
TH-02374,2026-06-25,C,15.3,,,,1.63,,,0,,warn
TH-02375,2026-06-25,C,15.3,,,,2.59,,,0,,OK
TH-02377,2026-06-25,C,15.3,,,,1.45,,,0,,warn
TH-02379,2026-06-25,C,15.3,,,,1.47,,,0,,OK
TH-02380,2026-06-25,C,15.3,,,,2.97,,,0,,OK
TH-02381,2026-06-25,C,15.3,,,,1.61,,,0,,warn
TH-02383,2026-06-25,C,15.3,,,,1.42,,,0,,warn
TH-02385,2026-06-25,C,15.3,,,,1.8,,,0,,OK
TH-02387,2026-06-25,C,15.3,,,,2.02,,,0,,OK
TH-02389,2026-06-25,C,15.3,,,,2.59,,,0,,warn
TH-02393,2026-06-25,C,15.3,,,,-1.29,,,0,,
TH-02395,2026-06-25,C,15.3,,,,2.21,,,0,,
TH-02396,2026-06-25,C,15.3,,,,1.81,,,0,,
TH-02397,2026-06-25,C,15.3,,,48.5,2.29,,,0,,
TH-02400,2026-06-25,C,15.3,,,,2.07,,,0,,
TH-90000,2026-06-25,C,15.3,,,,5.05,,,0,,OK
TH-90001,2026-06-25,C,15.3,,,,13.87,,,0,,OK
TH-90002,2026-06-25,C,15.3,,,,13.42,,,0,,OK
TH-90003,2026-06-25,C,15.3,,,,4.84,,,0,,OK
TH-90004,2026-06-25,C,15.3,,,,13.12,,,0,,OK
th-02006,2026-06-25,A,15.3,33.0,26.7,48.3,2.91,10.4,10,0,,OK
th-02017,2026-06-25,A,15.3,31.4,25.2,47.8,2.17,9.5,7,0,,ok
th-02020,2026-06-25,A,15.3,33.4,26.5,50.7,1.42,5.8,12,0,,OK
th-02051,2026-06-25,A,15.3,32.6,27.4,46.6,1.44,5.9,8,0,,ok
th-02063,2026-06-25,A,15.3,34.3,28.6,48.6,2.61,11.2,7,0,,OK
th-02065,2026-06-25,A,15.3,31.7,27.0,50.0,2.6,10.6,9,0,,ok
th-02068,2026-06-25,A,15.3,33.0,28.4,50.3,2.98,11.3,10,0,,OK
th-02081,2026-06-25,A,15.3,34.2,27.3,51.4,2.74,10.5,6,0,,OK
th-02091,2026-06-25,A,15.3,31.9,27.3,50.4,2.24,7.9,3,0,,ok
th-02095,2026-06-25,A,15.3,34.2,26.8,51.5,2.47,9.1,11,0,,ok
th-02122,2026-06-25,A,15.3,31.8,25.3,50.2,2.59,8.6,10,0,,OK
th-02148,2026-06-25,B,15.3,,,,12902.8,,7,0,,0
th-02162,2026-06-25,B,15.3,,,,14651.1,,6,0,6021,0
th-02221,2026-06-25,B,15.3,,,,16194.9,,4,0,,0
th-02236,2026-06-25,B,15.3,,,,4232.8,,11,0,,0
th-02240,2026-06-25,B,15.3,,,,8045.3,,7,0,6021,0
th-02248,2026-06-25,B,15.3,,,,23280.0,,8,0,6021,0
th-02257,2026-06-25,B,15.3,,,,21273.1,,2,0,6021,0
th-02272,2026-06-25,B,15.3,,,,24847.1,,11,0,6021,0
th-02277,2026-06-25,B,15.3,,,,17876.5,,10,0,,0
th-02278,2026-06-25,B,15.3,,,,14816.1,,10,0,6021,0
th-02281,2026-06-25,B,15.3,,,,4251.0,,11,0,,0
th-02287,2026-06-25,B,15.3,,,,18019.3,,4,0,,0
th-02296,2026-06-25,C,15.3,,,,2.23,,,0,,warn
th-02297,2026-06-25,C,15.3,,,,2.81,,,0,,OK
th-02302,2026-06-25,C,15.3,,,,3.08,,,0,,OK
th-02316,2026-06-25,C,15.3,,,,2.09,,,0,,OK
th-02333,2026-06-25,C,15.3,31.4,,,2.74,,,0,,warn
th-02384,2026-06-25,C,15.3,,,,1.71,,,0,,warn
th-02388,2026-06-25,C,15.3,,,,2.45,,,0,,OK
th-02398,2026-06-25,C,15.3,,,,2.41,,,0,,warn
 TH-02012,2026-06-26,A,12.5,34.1,28.3,49.1,3.65,12.6,8,0,,ok
 TH-02032,2026-06-26,A,12.5,34.4,28.8,48.1,4.09,12.9,4,0,,OK
 TH-02049,2026-06-26,A,12.5,33.8,27.6,0,4.24,13.6,15,0,,OK
 TH-02050,2026-06-26,A,12.5,34.3,29.5,50.9,4.75,15.6,3,0,,OK
 TH-02091,2026-06-26,A,12.5,35.4,28.9,49.3,3.7,14.2,4,0,,ok
 TH-02114,2026-06-26,A,12.5,33.3,27.9,50.8,5.14,17.2,7,0,,OK
 TH-02122,2026-06-26,A,12.5,34.0,28.7,51.6,3.52,14.3,8,0,,ok
 TH-02155,2026-06-26,B,12.5,,,,4492.9,,4,0,,0
 TH-02189,2026-06-26,B,12.5,,,,19362.2,,7,0,6021,0
 TH-02204,2026-06-26,B,12.5,,,,5183.9,,3,0,,0
 TH-02223,2026-06-26,B,12.5,,,,22239.6,,7,0,,0
 TH-02234,2026-06-26,B,12.5,,,,13289.9,,5,0,6021,0
 TH-02239,2026-06-26,B,12.5,,,,17210.0,,13,0,,0
 TH-02251,2026-06-26,B,12.5,,,,24455.8,,5,0,,0
 TH-02256,2026-06-26,B,12.5,,,,7848.3,,6,0,,0
 TH-02262,2026-06-26,B,12.5,,,,9175.5,,7,0,,0
 TH-02271,2026-06-26,B,12.5,,,,4942.8,,6,0,,0
 TH-02280,2026-06-26,B,12.5,,,,17715.6,,8,0,6021,0
 TH-02287,2026-06-26,B,12.5,,,,18022.1,,2,0,6021,0
 TH-02299,2026-06-26,C,12.5,,,,3.54,,,0,,
 TH-02331,2026-06-26,C,12.5,,,,3.02,,,0,,warn
 TH-02347,2026-06-26,C,12.5,,,,4.93,,,0,,OK
 TH-02351,2026-06-26,C,12.5,,,,3.42,,,0,,OK
 TH-02366,2026-06-26,C,12.5,,,,5.07,,,0,,warn
TH-02001,2026-06-26,A,12.5,33.7,26.4,48.6,4.14,17.1,9,0,,ok
TH-02002,2026-06-26,A,12.5,35.3,30.1,50.1,3.58,15.5,7,0,,OK
TH-02004,2026-06-26,A,12.5,35.5,30.1,52.3,4.31,13.8,10,0,,OK
TH-02006,2026-06-26,A,12.5,33.4,26.7,47.2,2.76,11.4,11,0,E-505,OK
TH-02007,2026-06-26,A,12.5,35.1,29.0,51.3,3.42,13.8,9,0,,OK
TH-02008,2026-06-26,A,12.5,34.2,27.9,51.9,3.18,12.8,5,0,,ok
TH-02009,2026-06-26,A,12.5,35.1,30.5,52.0,3.29,14.4,11,0,,ok
TH-02011,2026-06-26,A,12.5,35.8,30.2,48.9,4.02,13.1,14,0,,OK
TH-02016,2026-06-26,A,12.5,34.6,30.0,47.6,4.5,14.3,9,0,,OK
TH-02017,2026-06-26,A,12.5,35.1,29.8,46.8,4.18,14.0,4,0,,ok
TH-02019,2026-06-26,A,12.5,35.6,29.1,47.1,3.95,13.4,7,0,,ok
TH-02020,2026-06-26,A,12.5,34.2,27.6,46.3,3.67,12.4,5,0,,ok
TH-02021,2026-06-26,A,12.5,34.4,29.8,50.1,3.85,14.1,5,0,,OK
TH-02023,2026-06-26,A,12.5,33.3,27.6,46.8,3.97,13.6,12,0,,OK
TH-02025,2026-06-26,A,12.5,34.4,29.8,47.6,4.15,15.5,7,0,,ok
TH-02028,2026-06-26,A,12.5,35.6,28.2,47.7,4.11,16.0,11,0,,OK
TH-02030,2026-06-26,A,12.5,35.6,28.9,49.4,3.68,13.7,5,0,,ok
TH-02031,2026-06-26,A,12.5,33.4,26.1,53.0,4.48,17.3,7,0,,ok
TH-02033,2026-06-26,A,12.5,34.2,29.4,48.5,3.72,15.1,5,0,,OK
TH-02034,2026-06-26,A,12.5,33.7,26.5,50.0,4.48,14.6,6,0,,OK
TH-02035,2026-06-26,A,12.5,33.3,27.5,47.9,4.02,14.2,12,0,,ok
TH-02036,2026-06-26,A,12.5,34.5,27.7,48.9,3.52,14.8,8,0,,OK
TH-02038,2026-06-26,A,12.5,34.6,29.5,49.0,4.24,17.2,6,0,,ok
TH-02040,2026-06-26,A,12.5,33.3,27.3,48.3,3.76,13.9,5,0,,ok
TH-02045,2026-06-26,A,12.5,35.9,28.5,52.2,3.63,12.4,10,0,,ok
TH-02047,2026-06-26,A,12.5,35.5,30.1,47.0,3.67,14.5,10,0,,OK
TH-02048,2026-06-26,A,12.5,33.5,26.2,46.2,3.6,15.4,12,0,E-211,warn
TH-02051,2026-06-26,A,12.5,34.7,28.5,51.4,2.82,11.4,5,0,,ok
TH-02052,2026-06-26,A,12.5,35.6,29.0,52.2,4.12,14.5,6,0,,ok
TH-02054,2026-06-26,A,12.5,35.9,31.3,52.6,4.12,13.9,2,0,,OK
TH-02055,2026-06-26,A,12.5,35.8,30.2,52.6,4.39,15.7,7,0,,OK
TH-02056,2026-06-26,A,12.5,33.7,28.3,49.9,4.7,16.9,9,0,,OK
TH-02061,2026-06-26,A,12.5,34.1,27.5,50.9,3.05,11.4,9,0,,ok
TH-02062,2026-06-26,A,12.5,33.6,28.6,47.5,4.05,16.5,12,0,,ok
TH-02063,2026-06-26,A,12.5,33.3,26.7,52.4,5.62,17.8,9,0,,ok
TH-02065,2026-06-26,A,12.5,33.7,26.9,46.4,3.96,13.2,9,0,,OK
TH-02068,2026-06-26,A,12.5,34.1,28.2,50.1,3.34,11.7,9,0,,ok
TH-02072,2026-06-26,A,12.5,33.6,27.0,51.7,3.73,14.6,10,0,,ok
TH-02073,2026-06-26,A,12.5,33.3,26.5,46.1,3.84,13.7,9,0,,OK
TH-02074,2026-06-26,A,12.5,34.0,28.8,46.9,4.1,13.4,10,0,,OK
TH-02075,2026-06-26,A,12.5,33.2,28.7,47.4,4.51,16.4,11,0,,ok
TH-02080,2026-06-26,A,12.5,33.5,28.4,48.1,4.13,16.6,5,0,,ok
TH-02081,2026-06-26,A,12.5,34.8,28.9,46.5,4.32,15.6,14,0,,ok
TH-02083,2026-06-26,A,12.5,35.0,29.3,49.6,4.11,15.5,4,0,,ok
TH-02084,2026-06-26,A,12.5,35.0,29.7,48.3,3.29,12.9,14,0,,OK
TH-02085,2026-06-26,A,12.5,35.6,29.9,47.3,4.4,16.1,4,0,,ok
TH-02086,2026-06-26,A,12.5,35.4,28.5,49.6,3.94,15.1,8,0,,OK
TH-02087,2026-06-26,A,12.5,33.6,27.3,49.1,2.86,12.2,8,0,,ok
TH-02090,2026-06-26,A,12.5,34.5,27.7,46.2,2.66,11.3,7,0,,ok
TH-02093,2026-06-26,A,12.5,33.5,27.5,51.6,4.59,15.7,6,0,,OK
TH-02094,2026-06-26,A,12.5,33.8,27.2,51.5,3.18,13.9,5,0,,OK
TH-02095,2026-06-26,A,12.5,33.5,27.8,49.7,3.92,12.8,8,0,,ok
TH-02097,2026-06-26,A,12.5,35.5,30.7,51.5,3.83,14.1,2,0,,OK
TH-02099,2026-06-26,A,12.5,33.2,25.7,47.5,4.46,14.2,9,0,,ok
TH-02100,2026-06-26,A,12.5,35.1,28.0,50.8,4.12,14.4,8,0,,ok
TH-02111,2026-06-26,A,12.5,33.3,28.4,50.9,3.42,12.3,9,0,,ok
TH-02113,2026-06-26,A,12.5,34.6,29.4,52.3,4.98,17.7,10,0,,ok
TH-02120,2026-06-26,A,12.5,33.4,26.3,48.9,3.56,14.9,7,0,,ok
TH-02121,2026-06-26,A,12.5,35.9,31.0,50.8,3.75,12.9,8,0,,OK
TH-02124,2026-06-26,A,12.5,34.6,29.6,47.0,4.93,15.3,4,0,,OK
TH-02125,2026-06-26,A,12.5,34.6,29.0,46.6,4.18,15.0,9,0,,ok
TH-02127,2026-06-26,A,12.5,35.0,30.4,51.0,3.82,14.5,7,0,,OK
TH-02129,2026-06-26,A,12.5,35.5,29.7,47.4,3.15,13.1,3,0,,ok
TH-02130,2026-06-26,A,12.5,32.8,27.3,50.7,2.75,12.1,10,0,,ok
TH-02132,2026-06-26,A,12.5,34.8,30.1,50.5,3.67,13.9,9,0,,OK
TH-02133,2026-06-26,A,12.5,33.1,26.3,50.4,4.3,15.5,2,0,E-211,warn
TH-02134,2026-06-26,A,12.5,34.3,29.0,47.4,4.09,15.8,5,0,,ok
TH-02135,2026-06-26,A,12.5,35.7,29.5,47.1,4.68,14.8,6,0,,OK
TH-02136,2026-06-26,A,12.5,34.8,28.5,51.5,2.48,10.8,7,0,,OK
TH-02137,2026-06-26,A,12.5,35.5,28.1,48.1,3.79,15.2,5,0,,OK
TH-02138,2026-06-26,A,12.5,35.2,30.0,48.3,3.19,13.5,13,0,E-317,OK
TH-02140,2026-06-26,A,12.5,35.7,30.3,48.4,4.17,13.6,13,0,,OK
TH-02141,2026-06-26,B,12.5,,,,17175.4,,10,0,,0
TH-02144,2026-06-26,B,12.5,,,,12944.1,,6,0,,0
TH-02145,2026-06-26,B,12.5,,,,4815.7,,9,0,,0
TH-02146,2026-06-26,B,12.5,,,,24505.9,,7,0,,0
TH-02148,2026-06-26,B,12.5,,,,12906.8,,12,0,6021,0
TH-02149,2026-06-26,B,12.5,,,,8077.4,,4,0,,0
TH-02152,2026-06-26,B,12.5,,,,22523.1,,11,0,6021,0
TH-02153,2026-06-26,B,12.5,,,,19028.6,,10,0,6021,0
TH-02158,2026-06-26,B,12.5,,,,7069.0,,9,0,,0
TH-02159,2026-06-26,B,12.5,,,,12073.9,,3,0,,0
TH-02160,2026-06-26,B,12.5,,,,14943.1,,3,0,6021,0
TH-02161,2026-06-26,B,12.5,,,,8284.9,,10,0,6021,0
TH-02162,2026-06-26,B,12.5,,,,14654.3,,11,0,,0
TH-02165,2026-06-26,B,12.5,,,,15111.6,,12,0,,0
TH-02166,2026-06-26,B,12.5,,,,17538.5,,4,0,,0
TH-02168,2026-06-26,B,12.5,,,,13647.4,,10,0,,0
TH-02169,2026-06-26,B,12.5,,,,18466.3,,13,0,,0
TH-02175,2026-06-26,B,12.5,,,,12060.0,,12,0,,0
TH-02176,2026-06-26,B,12.5,,,,5419.9,,8,0,,0
TH-02177,2026-06-26,B,12.5,,,,12948.3,,9,0,3104,2
TH-02178,2026-06-26,B,12.5,,,,19502.5,,10,0,6021,0
TH-02180,2026-06-26,B,12.5,35.1,30.4,,11609.9,,9,0,,0
TH-02181,2026-06-26,B,12.5,,,,18745.7,,6,0,6021,0
TH-02182,2026-06-26,B,12.5,,,,20954.3,,5,0,,0
TH-02184,2026-06-26,B,12.5,,,,20292.6,,15,0,6021,0
TH-02187,2026-06-26,B,12.5,,,,13620.6,,6,0,,0
TH-02188,2026-06-26,B,12.5,,,,24492.2,,3,0,,0
TH-02190,2026-06-26,B,12.5,,,,24677.2,,2,0,6021,0
TH-02192,2026-06-26,B,12.5,,,,23382.4,,9,0,,0
TH-02194,2026-06-26,B,12.5,,,,19009.2,,8,0,,0
TH-02195,2026-06-26,B,12.5,,,,14829.6,,9,0,6021,0
TH-02196,2026-06-26,B,12.5,,,,25222.8,,8,0,6021,0
TH-02202,2026-06-26,B,12.5,,,,13823.8,,7,0,,0
TH-02206,2026-06-26,B,12.5,,,,17396.1,,8,0,6021,0
TH-02207,2026-06-26,B,12.5,,,,13678.7,,8,0,6021,0
TH-02213,2026-06-26,B,12.5,,,,9323.4,,6,0,,0
TH-02214,2026-06-26,B,12.5,,,,9129.5,,12,0,6021,0
TH-02215,2026-06-26,B,12.5,34.3,29.3,,18255.9,,11,0,,0
TH-02216,2026-06-26,B,12.5,,,,17167.1,,9,0,6021,0
TH-02221,2026-06-26,B,12.5,,,,16197.6,,7,0,,0
TH-02226,2026-06-26,B,12.5,,,,9743.9,,8,0,,0
TH-02230,2026-06-26,B,12.5,,,,25625.0,,4,0,6021,0
TH-02231,2026-06-26,B,12.5,,,,7580.4,,8,0,6021,0
TH-02235,2026-06-26,B,12.5,,,,22679.5,,6,0,6021,0
TH-02238,2026-06-26,B,12.5,,,,7773.7,,11,0,6021,0
TH-02240,2026-06-26,B,12.5,,,,8049.3,,11,0,6021,0
TH-02242,2026-06-26,B,12.5,,,,14342.5,,8,0,,0
TH-02244,2026-06-26,B,12.5,,,,16875.4,,5,0,,0
TH-02245,2026-06-26,B,12.5,,,,14931.1,,11,0,,0
TH-02246,2026-06-26,B,12.5,,,,15947.6,,5,0,6021,0
TH-02247,2026-06-26,B,12.5,,,,5481.8,,5,0,,0
TH-02248,2026-06-26,B,12.5,,,,23284.2,,11,0,,0
TH-02250,2026-06-26,B,12.5,,,,11178.6,,5,0,,0
TH-02257,2026-06-26,B,12.5,,,,21277.3,,12,0,,0
TH-02258,2026-06-26,B,12.5,,,,10352.9,,6,0,,0
TH-02259,2026-06-26,B,12.5,,,,12284.3,,10,0,6021,0
TH-02260,2026-06-26,B,12.5,,,,7334.8,,9,0,6021,0
TH-02265,2026-06-26,B,12.5,,,,22589.8,,6,0,6021,0
TH-02266,2026-06-26,B,12.5,,,,16114.2,,12,0,6021,0
TH-02267,2026-06-26,B,12.5,,,,11537.3,,3,0,6021,0
TH-02268,2026-06-26,B,12.5,,,,23822.4,,11,0,,0
TH-02269,2026-06-26,B,12.5,,,,12396.7,,4,0,6021,0
TH-02270,2026-06-26,B,12.5,,,,21931.6,,11,0,,0
TH-02272,2026-06-26,B,12.5,,,,24850.1,,9,0,6021,0
TH-02273,2026-06-26,B,12.5,,,,19806.3,,12,0,,0
TH-02275,2026-06-26,B,12.5,,,,12342.6,,9,0,6021,0
TH-02277,2026-06-26,B,12.5,,,,17879.7,,2,0,,0
TH-02279,2026-06-26,B,12.5,,,,21089.2,,6,0,,0
TH-02281,2026-06-26,B,12.5,,,,4255.1,,6,0,6021,0
TH-02283,2026-06-26,B,12.5,,,,21345.6,,14,0,,0
TH-02285,2026-06-26,B,12.5,,,,12825.2,,13,0,,0
TH-02286,2026-06-26,B,12.5,,,,7576.6,,5,0,,0
TH-02288,2026-06-26,B,12.5,,,,5433.0,,2,0,6021,0
TH-02290,2026-06-26,B,12.5,,,,7315.5,,5,0,3104,2
TH-02292,2026-06-26,C,12.5,,,46.6,5.28,,,0,,
TH-02294,2026-06-26,C,12.5,,,,3.32,,,0,,OK
TH-02296,2026-06-26,C,12.5,,,,3.78,,,0,,
TH-02297,2026-06-26,C,12.5,,,,4.05,,,0,,
TH-02298,2026-06-26,C,12.5,,,,2.95,,,0,,
TH-02300,2026-06-26,C,12.5,,,,4.5,,,0,,
TH-02302,2026-06-26,C,12.5,,,47.6,3.75,,,0,,OK
TH-02303,2026-06-26,C,12.5,,,,4.74,,,0,,OK
TH-02307,2026-06-26,C,12.5,,,,4.43,,,0,,OK
TH-02308,2026-06-26,C,12.5,34.9,,,4.43,,,0,,warn
TH-02309,2026-06-26,C,12.5,,,,2.84,,,0,,OK
TH-02311,2026-06-26,C,12.5,,,,3.7,,,0,,warn
TH-02312,2026-06-26,C,12.5,,,48.2,2.51,,,0,,warn
TH-02313,2026-06-26,C,12.5,,,,3.86,,,0,,OK
TH-02314,2026-06-26,C,12.5,,,,4.54,,,0,,warn
TH-02316,2026-06-26,C,12.5,,,,2.9,,,0,,OK
TH-02317,2026-06-26,C,12.5,,,,3.13,,,0,,OK
TH-02319,2026-06-26,C,12.5,,,,4.14,,,0,,warn
TH-02322,2026-06-26,C,12.5,,,,4.43,,,0,,OK
TH-02323,2026-06-26,C,12.5,,,,4.53,,,0,,
TH-02324,2026-06-26,C,12.5,,,,3.18,,,0,,warn
TH-02333,2026-06-26,C,12.5,,,,3.02,,,0,,OK
TH-02335,2026-06-26,C,12.5,,,,4.19,,,0,,
TH-02336,2026-06-26,C,12.5,,,,3.32,,,0,,
TH-02337,2026-06-26,C,12.5,,,,4.76,,,0,,
TH-02338,2026-06-26,C,12.5,,,,4.56,,,0,,
TH-02339,2026-06-26,C,12.5,,,,4.8,,,0,,
TH-02340,2026-06-26,C,12.5,,,,3.9,,,0,,warn
TH-02341,2026-06-26,C,12.5,,,,4.03,,,0,,OK
TH-02342,2026-06-26,C,12.5,,,,3.62,,,0,,warn
TH-02343,2026-06-26,C,12.5,,,,3.54,,,0,,OK
TH-02345,2026-06-26,C,12.5,,,,4.0,,,0,,
TH-02346,2026-06-26,C,12.5,,,,4.43,,,0,,
TH-02348,2026-06-26,C,12.5,,,,3.66,,,0,,
TH-02352,2026-06-26,C,12.5,,,,4.07,,,0,,
TH-02354,2026-06-26,C,12.5,33.7,,,3.9,,,0,,
TH-02355,2026-06-26,C,12.5,,,,4.32,,,0,,OK
TH-02357,2026-06-26,C,12.5,,,,3.63,,,0,,warn
TH-02358,2026-06-26,C,12.5,,,,3.22,,,0,,warn
TH-02359,2026-06-26,C,12.5,,,,3.37,,,0,,
TH-02360,2026-06-26,C,12.5,,,,3.1,,,0,,warn
TH-02361,2026-06-26,C,12.5,,,,3.17,,,0,,OK
TH-02365,2026-06-26,C,12.5,,,,3.69,,,0,,warn
TH-02367,2026-06-26,C,12.5,,,,3.35,,,0,,
TH-02375,2026-06-26,C,12.5,33.4,,,2.84,,,0,,warn
TH-02377,2026-06-26,C,12.5,,,,3.33,,,0,,
TH-02380,2026-06-26,C,12.5,,,,4.17,,,0,,
TH-02383,2026-06-26,C,12.5,,,,3.5,,,0,,OK
TH-02387,2026-06-26,C,12.5,,,,3.9,,,0,,
TH-02388,2026-06-26,C,12.5,,,,4.58,,,0,,OK
TH-02389,2026-06-26,C,12.5,,,,4.02,,,0,,
TH-02395,2026-06-26,C,12.5,,,,3.32,,,0,,warn
